,Player,Matches,Inns,Runs,Avg,Sr,4s,6s
1,Virat Kohli,11,11,765,95.62,90.32,68,9
2,Rohit Sharma,11,11,597,54.27,125.95,66,31
3,Quinton de Kock,10,10,594,59.40,107.03,57,21
4,Rachin Ravindra,10,10,578,64.22,106.45,55,17
5,Daryl Mitchell,10,9,552,69.00,111.07,48,22
6,David Warner,11,11,535,48.64,108.30,50,24
7,Shreyas Iyer,11,11,530,66.25,113.25,37,24
8,KL Rahul,11,10,452,75.33,90.76,38,9
9,Rassie van der Dussen,10,10,448,49.78,84.53,39,8
10,Mitchell Marsh,10,10,441,49.00,107.56,43,21
11,Aiden Markram,10,10,406,45.11,110.93,44,9
12,Dawid Malan,9,9,404,44.89,101.00,50,9
13,Glenn Maxwell,9,9,400,66.67,150.38,40,22
14,Mohammad Rizwan,9,8,395,65.83,95.41,38,5
15,Ibrahim Zadran,9,9,376,47.00,76.27,39,5
